Description,Name,Number,Source
Human Population in,South Sudan,"12436037",Worldometers (Feb 2026)
Human Population in,Tunisia,"12415138",Worldometers (Feb 2026)
Human Population in,Haiti,"12037506",Worldometers (Feb 2026)
Human Population in,Belgium,"11774642",Worldometers (Feb 2026)
Human Population in,Dominican Republic,"11609500",Worldometers (Feb 2026)
Human Population in,Jordan,"11589532",Worldometers (Feb 2026)
Human Population in,United Arab Emirates,"11574682",Worldometers (Feb 2026)
Human Population in,Honduras,"11184760",Worldometers (Feb 2026)
Human Population in,Tajikistan,"10978599",Worldometers (Feb 2026)
Human Population in,Papua New Guinea,"10947848",Worldometers (Feb 2026)
Human Population in,Cuba,"10892659",Worldometers (Feb 2026)
Human Population in,Sweden,"10701047",Worldometers (Feb 2026)
Human Population in,Czech Republic (Czechia),"10527781",Worldometers (Feb 2026)
Human Population in,Azerbaijan,"10454855",Worldometers (Feb 2026)
Human Population in,Portugal,"10395362",Worldometers (Feb 2026)
Human Population in,Togo,"9930918",Worldometers (Feb 2026)
Human Population in,Greece,"9897115",Worldometers (Feb 2026)
Human Population in,Israel,"9647689",Worldometers (Feb 2026)
Human Population in,Hungary,"9585818",Worldometers (Feb 2026)
Human Population in,Austria,"9107266",Worldometers (Feb 2026)
Human Population in,Switzerland,"9007798",Worldometers (Feb 2026)
Human Population in,Sierra Leone,"8996745",Worldometers (Feb 2026)
Human Population in,Belarus,"8937018",Worldometers (Feb 2026)
Human Population in,Laos,"7974017",Worldometers (Feb 2026)
Human Population in,Turkmenistan,"7736632",Worldometers (Feb 2026)
Human Population in,Libya,"7539851",Worldometers (Feb 2026)
Human Population in,Kyrgyzstan,"7400465",Worldometers (Feb 2026)
Human Population in,Hong Kong,"7378602",Worldometers (Feb 2026)
Human Population in,Nicaragua,"7097329",Worldometers (Feb 2026)
Human Population in,Paraguay,"7095279",Worldometers (Feb 2026)
Human Population in,Bulgaria,"6667659",Worldometers (Feb 2026)
Human Population in,Serbia,"6641964",Worldometers (Feb 2026)
Human Population in,Congo,"6637785",Worldometers (Feb 2026)
Human Population in,El Salvador,"6391253",Worldometers (Feb 2026)
Human Population in,Denmark,"6023520",Worldometers (Feb 2026)
Human Population in,Singapore,"5905748",Worldometers (Feb 2026)
Human Population in,Lebanon,"5897467",Worldometers (Feb 2026)
Human Population in,Liberia,"5853949",Worldometers (Feb 2026)
Human Population in,Central African Republic,"5698984",Worldometers (Feb 2026)
Human Population in,State of Palestine,"5692790",Worldometers (Feb 2026)
Human Population in,Oman,"5671458",Worldometers (Feb 2026)
Human Population in,Norway,"5652989",Worldometers (Feb 2026)
Human Population in,Finland,"5621739",Worldometers (Feb 2026)
Human Population in,Mauritania,"5461319",Worldometers (Feb 2026)
Human Population in,Slovakia,"5451342",Worldometers (Feb 2026)
Human Population in,Ireland,"5356950",Worldometers (Feb 2026)
Human Population in,New Zealand,"5287479",Worldometers (Feb 2026)
Human Population in,Costa Rica,"5174789",Worldometers (Feb 2026)
Human Population in,Kuwait,"5102773",Worldometers (Feb 2026)
Human Population in,Panama,"4625718",Worldometers (Feb 2026)
Human Population in,Croatia,"3822345",Worldometers (Feb 2026)
Human Population in,Georgia,"3804642",Worldometers (Feb 2026)
Human Population in,Eritrea,"3682669",Worldometers (Feb 2026)
Human Population in,Mongolia,"3556798",Worldometers (Feb 2026)
Human Population in,Uruguay,"3382537",Worldometers (Feb 2026)
Human Population in,Puerto Rico,"3222688",Worldometers (Feb 2026)
Human Population in,Qatar,"3173559",Worldometers (Feb 2026)
Human Population in,Namibia,"3153246",Worldometers (Feb 2026)
Human Population in,Bosnia and Herzegovina,"3114242",Worldometers (Feb 2026)
Human Population in,Moldova,"2961253",Worldometers (Feb 2026)
Human Population in,Armenia,"2930915",Worldometers (Feb 2026)
Human Population in,Gambia,"2884079",Worldometers (Feb 2026)
Human Population in,Jamaica,"2833403",Worldometers (Feb 2026)
Human Population in,Lithuania,"2797338",Worldometers (Feb 2026)
Human Population in,Albania,"2751025",Worldometers (Feb 2026)
Human Population in,Gabon,"2647399",Worldometers (Feb 2026)
Human Population in,Botswana,"2603388",Worldometers (Feb 2026)
Human Population in,Lesotho,"2389336",Worldometers (Feb 2026)
Human Population in,Guinea-Bissau,"2297808",Worldometers (Feb 2026)
Human Population in,Slovenia,"2114573",Worldometers (Feb 2026)
Human Population in,Equatorial Guinea,"1984468",Worldometers (Feb 2026)
Human Population in,Latvia,"1835935",Worldometers (Feb 2026)
Human Population in,North Macedonia,"1804063",Worldometers (Feb 2026)
Human Population in,Bahrain,"1675572",Worldometers (Feb 2026)
Human Population in,Trinidad and Tobago,"1513268",Worldometers (Feb 2026)
Human Population in,Timor-Leste,"1436923",Worldometers (Feb 2026)
Human Population in,Cyprus,"1382334",Worldometers (Feb 2026)
Human Population in,Estonia,"1331062",Worldometers (Feb 2026)
Human Population in,Eswatini,"1269859",Worldometers (Feb 2026)
Human Population in,Mauritius,"1265059",Worldometers (Feb 2026)
Human Population in,Djibouti,"1199459",Worldometers (Feb 2026)
Human Population in,Fiji,"937282",Worldometers (Feb 2026)
Human Population in,Comoros,"899010",Worldometers (Feb 2026)
Human Population in,Réunion,"886298",Worldometers (Feb 2026)
Human Population in,Solomon Islands,"858288",Worldometers (Feb 2026)
Human Population in,Guyana,"840890",Worldometers (Feb 2026)
Human Population in,Bhutan,"802214",Worldometers (Feb 2026)
Human Population in,Macao,"723188",Worldometers (Feb 2026)
Human Population in,Luxembourg,"687448",Worldometers (Feb 2026)
Human Population in,Suriname,"645256",Worldometers (Feb 2026)
Human Population in,Montenegro,"626233",Worldometers (Feb 2026)
Human Population in,Western Sahara,"610813",Worldometers (Feb 2026)
Human Population in,Malta,"549011",Worldometers (Feb 2026)
Human Population in,Maldives,"531517",Worldometers (Feb 2026)
Human Population in,Cabo Verde,"529630",Worldometers (Feb 2026)
Human Population in,Brunei,"469775",Worldometers (Feb 2026)
Human Population in,Belize,"428644",Worldometers (Feb 2026)
Human Population in,Bahamas,"404628",Worldometers (Feb 2026)
Human Population in,Iceland,"402329",Worldometers (Feb 2026)
Human Population in,Guadeloupe,"372453",Worldometers (Feb 2026)
Human Population in,Mayotte,"347536",Worldometers (Feb 2026)
Human Population in,Vanuatu,"342564",Worldometers (Feb 2026)
Human Population in,Martinique,"337711",Worldometers (Feb 2026)
Human Population in,French Guiana,"318872",Worldometers (Feb 2026)
Human Population in,New Caledonia,"297892",Worldometers (Feb 2026)
Human Population in,French Polynesia,"283076",Worldometers (Feb 2026)
Human Population in,Barbados,"282724",Worldometers (Feb 2026)
