Description,Name,Number,Source
Number of trees in,Mauritius,32.6M,World Population Review (Feb 2026)
Number of trees in,French Polynesia,29.8M,World Population Review (Feb 2026)
Number of trees in,Hong Kong,29.7M,World Population Review (Feb 2026)
Number of trees in,Lebanon,28M,World Population Review (Feb 2026)
Number of trees in,Libya,27.2M,World Population Review (Feb 2026)
Number of trees in,Andorra,23.1M,World Population Review (Feb 2026)
Number of trees in,Cape Verde,21.4M,World Population Review (Feb 2026)
Number of trees in,Saint Lucia,21.3M,World Population Review (Feb 2026)
Number of trees in,Yemen,15.6M,World Population Review (Feb 2026)
Number of trees in,Palau,13.2M,World Population Review (Feb 2026)
Number of trees in,Israel,12.7M,World Population Review (Feb 2026)
Number of trees in,Saint Vincent and the Grenadines,12.6M,World Population Review (Feb 2026)
Number of trees in,Grenada,10.5M,World Population Review (Feb 2026)
Number of trees in,Mayotte,10.2M,World Population Review (Feb 2026)
