Name,Source,Population,Yearly Change,Net Change,Density per km2,Land Area,Migrants,Fertility Rate,Median Age,Urban Population,World Share
Rwanda,https://www.worldometers.info/world-population/rwanda-population/,"14,889,693",2.2%,"320,352",604,"24,670","−7,003",3.54,20.2,18.5%,0.18%
Burundi,https://www.worldometers.info/world-population/burundi-population/,"14,729,157",2.36%,"339,154",574,"25,680","−35,108",4.57,16.6,15.4%,0.18%
Bolivia,https://www.worldometers.info/world-population/bolivia-population/,"12,749,291",1.33%,"167,448",12,"1,083,300","−3,157",2.47,25.5,71%,0.15%
South Sudan,https://www.worldometers.info/world-population/south-sudan-population/,"12,436,037",2.03%,"247,249",20,"610,952","7,974",3.63,19,28.3%,0.15%
Tunisia,https://www.worldometers.info/world-population/tunisia-population/,"12,415,138",0.54%,"66,565",80,"155,360","−14,794",1.79,33.4,72.2%,0.15%
Haiti,https://www.worldometers.info/world-population/haiti-population/,"12,037,506",1.1%,"131,411",437,"27,560","−31,968",2.55,24.3,62.4%,0.15%
Belgium,https://www.worldometers.info/world-population/belgium-population/,"11,774,642",0.14%,"16,039",389,"30,280","29,607",1.4,42.1,99%,0.14%
Dominican Republic,https://www.worldometers.info/world-population/dominican-republic-population/,"11,609,500",0.77%,"89,013",240,"48,320","−35,038",2.17,28.7,86.9%,0.14%
Jordan,https://www.worldometers.info/world-population/jordan-population/,"11,589,532",0.6%,"68,848",131,"88,780","60,699",2.54,24.9,85.4%,0.14%
United Arab Emirates,https://www.worldometers.info/world-population/united-arab-emirates-population/,"11,574,682",2.02%,"228,682",138,"83,600","87,401",1.21,31.6,80.7%,0.14%
Honduras,https://www.worldometers.info/world-population/honduras-population/,"11,184,760",1.63%,"178,910",100,"111,890","−4,603",2.42,24.6,58.8%,0.13%
Tajikistan,https://www.worldometers.info/world-population/tajikistan-population/,"10,978,599",1.78%,"191,865",78,"139,960","−20,198",2.96,22.4,28%,0.13%
Papua New Guinea,https://www.worldometers.info/world-population/papua-new-guinea-population/,"10,947,848",1.72%,"185,031",24,"452,860",−534,2.99,23,12.7%,0.13%
